CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment
1011,34,2,1129.02,2,4,4,10,A
1025,22,1,359.29,3,2,2,7,C
1029,1,1,704.99,4,2,3,9,A
1046,44,1,859.82,2,2,4,8,A
1049,14,1,225.72,4,2,1,7,C
1082,25,1,600.69,3,2,3,8,A
1086,10,1,100.18,4,2,1,7,C
1104,35,1,146.12,2,2,1,5,C
1108,29,1,883.21,3,2,4,9,A
1120,29,1,999.44,3,2,4,9,A
1136,57,1,394.76,1,2,2,5,C
1146,59,1,585.27,1,2,3,6,C
1149,48,1,510.68,1,2,2,5,C
1166,28,1,948.58,3,2,4,9,A
1182,26,1,876.02,3,2,4,9,A
1185,21,1,209.18,3,2,1,6,C
1190,20,1,935.03,3,2,4,9,A
1193,18,1,218.64,3,2,1,6,C
1200,32,1,502.65,3,2,2,7,C
1207,7,1,425.86,4,2,2,8,A
1212,14,1,258.83,4,2,1,7,C
1225,40,1,696.86,2,2,3,7,C
1228,45,1,541.21,2,2,2,6,C
1230,4,1,328.99,4,2,2,8,A
1256,48,1,591.17,1,2,3,6,C
1265,45,1,557.78,2,2,3,7,C
1273,24,1,76.86,3,2,1,6,C
1305,5,2,1234.46,4,4,4,12,A
1317,52,1,59.14,1,2,1,4,C
1323,58,1,692.85,1,2,3,6,C
1331,40,1,819.21,2,2,4,8,A
1341,41,1,180.15,2,2,1,5,C
1372,42,1,468.37,2,2,2,6,C
1391,47,1,546.13,1,2,3,6,C
1392,32,1,629.21,3,2,3,8,A
1430,23,1,929.79,3,2,4,9,A
1439,7,1,848.6,4,2,4,10,A
1440,1,1,729.94,4,2,3,9,A
1464,56,1,55.01,1,2,1,4,C
1480,4,2,1621.62,4,4,4,12,A
1500,46,1,378.74,1,2,2,5,C
1502,56,1,748.65,1,2,3,6,C
1504,31,1,164.76,3,2,1,6,C
1505,11,1,763.45,4,2,3,9,A
1507,34,1,943.02,2,2,4,8,A
1509,1,1,410.35,4,2,2,8,A
1510,52,1,850.18,1,2,4,7,C
1514,6,1,337.12,4,2,2,8,A
1517,25,1,948.72,3,2,4,9,A
1519,40,2,504.2,2,4,2,8,A
1520,60,1,102.76,1,2,1,4,C
1530,23,1,161.9,3,2,1,6,C
